timestamp x y z roll pitch yaw view_angle_deg
1773029346.296417 -2.276441 -0.897700 5.618228 177.390 5.855 -84.416 25.208
1773029346.328830 -2.293699 -0.901396 5.676176 -133.253 5.871 -84.836 24.288
1773029346.361577 -2.313667 -0.904538 5.732578 -135.156 3.426 -86.306 22.824
1773029346.396345 -2.336894 -0.907814 5.801285 -135.821 0.955 -88.149 22.986
1773029346.428364 -2.357906 -0.909543 5.864927 -137.444 -1.043 -89.538 22.336
1773029346.461056 -2.376020 -0.911029 5.915646 -137.882 -2.833 -90.350 22.756
1773029346.496446 -2.394616 -0.914213 5.966868 -138.489 -3.520 -90.444 22.514
1773029346.528885 -2.401823 -0.915009 5.989567 -137.765 -3.515 -90.296 23.093
1773029346.561218 -2.418823 -0.922192 6.035565 -138.814 -4.420 -89.958 22.472
1773029346.596890 -2.441113 -0.934926 6.088988 -139.451 -6.870 -90.158 23.141
1773029346.629859 -2.466703 -0.948620 6.148306 -140.095 -8.443 -90.100 23.454
1773029346.661354 -2.488284 -0.957188 6.195548 -140.466 -8.820 -89.619 23.220
1773029346.697576 -2.519530 -0.969530 6.265176 -141.891 -9.199 -88.763 22.147
1773029346.729363 -2.548363 -0.982647 6.330067 -143.764 -9.554 -88.297 20.993
1773029346.760599 -2.566741 -0.991895 6.368923 -144.447 -8.603 -87.049 19.524
1773029346.792556 -2.574282 -0.996275 6.384242 -144.123 -7.182 -85.754 18.427
1773029346.828038 -2.579469 -0.998418 6.397051 -144.123 -5.542 -84.863 17.209
1773029346.859325 -2.585494 -0.998926 6.411549 -143.314 -2.669 -83.181 15.984
1773029346.891888 -2.576057 -0.990207 6.385365 -172.619 9.682 -78.070 16.636
1773029346.928452 -2.562754 -0.980612 6.355961 -174.987 6.929 -79.649 18.066
1773029346.960320 -2.557440 -0.975759 6.347721 -175.858 4.956 -81.179 18.641
1773029346.992720 -2.559965 -0.978463 6.360821 -176.064 3.551 -82.441 18.820
1773029347.028332 -2.574026 -0.990989 6.401698 -174.190 0.359 -83.810 17.637
1773029347.060902 -2.588665 -1.003634 6.438334 -174.902 -0.768 -83.441 18.693
1773029347.092405 -2.586168 -1.008323 6.438216 -177.343 -0.410 -82.621 20.867
1773029347.129415 -2.577388 -1.007814 6.431404 179.681 1.662 -81.540 23.280
1773029347.161567 -2.570214 -1.002667 6.426334 177.178 2.905 -79.839 25.656
1773029347.192603 -2.516729 -0.978170 6.315748 175.940 4.751 -77.898 26.911
1773029347.228970 -2.478647 -0.959568 6.240197 175.692 5.973 -75.944 27.344
1773029347.261614 -2.421058 -0.931196 6.110357 173.758 6.713 -73.330 29.558
1773029347.293281 -2.349318 -0.898665 5.958926 173.242 7.901 -72.128 30.306
1773029347.324123 -2.298137 -0.872603 5.859930 173.759 9.437 -71.027 30.204
1773029347.361016 -2.247100 -0.844813 5.752986 172.395 9.197 -70.232 31.469
1773029347.392599 -2.193344 -0.816182 5.654106 170.386 8.409 -70.351 33.063
1773029347.424600 -2.166633 -0.799880 5.634439 170.910 7.987 -70.710 32.245
